Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
6,"[128, 64]",0.4,0.002,32,20,134.36389971,16.77429316,5.52504208,0.01940683,0.8658445,14.97746773,3.34956266,0.00836491,0.27996511
6,"[128, 64]",0.4,0.005,32,15,101.42161846,16.2829294,4.22202759,0.01700737,0.87358893,14.97298786,3.35998487,0.00838448,0.28039578
6,"[64, 32, 8]",0.4,0.002,32,8,68.02744675,18.58991611,8.48792009,0.02431045,0.83523123,14.95914317,3.34619367,0.00835279,0.28172592
6,"[64, 32, 8]",0.4,0.005,32,7,58.04404974,17.96120987,6.8261412,0.02090573,0.84618765,15.72542121,6.16352212,0.01259645,0.2062544
24,"[128, 64]",0.4,0.002,32,17,124.72578812,16.27125397,4.66269122,0.01771403,0.8737305,15.22797648,4.15497847,0.00961429,0.26250868
24,"[128, 64]",0.4,0.005,32,22,164.25063181,15.92667781,4.34795453,0.01699462,0.87902189,15.0077331,3.35515842,0.00838907,0.2836872
24,"[64, 32, 8]",0.4,0.002,32,20,172.89184999,19.63431552,10.01482772,0.02679992,0.81613971,15.06332355,3.79083875,0.00903616,0.27837075
24,"[64, 32, 8]",0.4,0.005,32,6,54.73205996,19.29383721,9.08016531,0.02424749,0.82246106,16.37334842,6.83910195,0.01361005,0.14739569
