Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,115,0-115,Leaf,,,,,-6.9699769,1449.0,
0,116,0-116,Leaf,,,,,-1.98670352,1.0,
0,117,0-117,Leaf,,,,,-5.95115757,245.0,
0,118,0-118,Leaf,,,,,-4.53216505,42.0,
0,119,0-119,Leaf,,,,,-0.730055273,3.0,
0,120,0-120,Leaf,,,,,2.0132966,1.0,
0,121,0-121,Leaf,,,,,-5.06442928,1199.0,
0,122,0-122,Leaf,,,,,-0.977205932,6.0,
0,123,0-123,Leaf,,,,,-4.08984709,2163.0,
0,124,0-124,Leaf,,,,,-2.71884775,48.0,
0,125,0-125,Leaf,,,,,2.85106206,2.0,
0,126,0-126,Leaf,,,,,0.912527084,8.0,
0,127,0-127,Leaf,,,,,-3.43988967,759.0,
0,128,0-128,Leaf,,,,,-0.230055243,3.0,
0,129,0-129,Leaf,,,,,-2.97131634,2617.0,
0,130,0-130,Leaf,,,,,1.76994479,3.0,
0,131,0-131,Leaf,,,,,2.16565108,6.0,
0,132,0-132,Leaf,,,,,-0.230055243,3.0,
0,133,0-133,Leaf,,,,,-2.46198893,636.0,
0,134,0-134,Leaf,,,,,-1.12606633,9.0,
0,135,0-135,Leaf,,,,,-1.98570025,1140.0,
0,136,0-136,Leaf,,,,,-0.875889242,50.0,
0,137,0-137,Leaf,,,,,1.85106206,2.0,
0,138,0-138,Leaf,,,,,6.01772881,2.0,
0,139,0-139,Leaf,,,,,1.35106206,2.0,
0,140,0-140,Leaf,,,,,-1.23670352,1.0,
0,141,0-141,Leaf,,,,,0.513296545,1.0,
0,142,0-142,Leaf,,,,,-0.486703485,1.0,
0,143,0-143,Leaf,,,,,-1.16747689,2212.0,
0,144,0-144,Leaf,,,,,1.68084848,28.0,
0,145,0-145,Leaf,,,,,-24.4867039,1.0,
0,146,0-146,Leaf,,,,,-0.894505799,5.0,
0,147,0-147,Leaf,,,,,-1.10505521,3.0,
0,148,0-148,Leaf,,,,,-0.142289743,11.0,
0,149,0-149,Leaf,,,,,-2.92217517,18.0,
0,150,0-150,Leaf,,,,,-0.200332239,1623.0,
0,151,0-151,Leaf,,,,,0.585025489,67.0,
0,152,0-152,Leaf,,,,,1.75560403,36.0,
0,153,0-153,Leaf,,,,,0.412023157,344.0,
0,154,0-154,Leaf,,,,,0.974370301,2148.0,
0,155,0-155,Leaf,,,,,2.0812459,90.0,
0,156,0-156,Leaf,,,,,-4.4867034,1.0,
0,157,0-157,Leaf,,,,,-2.81560469,2.0,
0,158,0-158,Leaf,,,,,1.52654791,588.0,
0,159,0-159,Leaf,,,,,2.39993095,15.0,
0,160,0-160,Leaf,,,,,3.77493095,15.0,
0,161,0-161,Leaf,,,,,1.98812413,3613.0,
0,162,0-162,Leaf,,,,,3.0887239,71.0,
0,163,0-163,Leaf,,,,,-27.9867039,1.0,
0,164,0-164,Leaf,,,,,3.72393394,9.0,
0,165,0-165,Leaf,,,,,2.83058548,1420.0,
0,166,0-166,Leaf,,,,,4.66145563,47.0,
0,167,0-167,Leaf,,,,,2.4889791,13.0,
0,168,0-168,Leaf,,,,,-26.2367039,1.0,
0,169,0-169,Leaf,,,,,3.4829762,34.0,
0,170,0-170,Leaf,,,,,4.7539959,144.0,
0,171,0-171,Leaf,,,,,3.07529068,173.0,
0,172,0-172,Leaf,,,,,3.87905955,799.0,
0,173,0-173,Leaf,,,,,4.70500612,167.0,
0,174,0-174,Leaf,,,,,-0.976731122,7.0,
0,175,0-175,Leaf,,,,,4.97178984,879.0,
0,176,0-176,Leaf,,,,,5.58868265,216.0,
0,177,0-177,Leaf,,,,,6.25547028,379.0,
0,178,0-178,Leaf,,,,,7.47937393,385.0,
0,179,0-179,Leaf,,,,,4.82921505,27.0,
0,180,0-180,Leaf,,,,,-20.2867031,1.0,
