Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
6,"[8, 4]",0.6,0.002,32,9,64.80047345,21.2736856,10.30082399,0.02654801,0.78422283,16.48812233,7.71864238,0.01493977,0.12739206
6,"[8, 4]",0.6,0.004,32,6,40.42764187,20.27059637,9.45211656,0.0252539,0.80409159,15.58583664,5.36531435,0.01139324,0.22028301
6,"[8, 4]",0.1,0.002,32,15,103.53862095,16.46279947,4.73304204,0.01787628,0.87078069,15.14876637,4.48868688,0.01009021,0.26340072
6,"[8, 4]",0.1,0.004,32,12,76.61132741,16.44321842,4.66391853,0.0176518,0.8710879,15.13717717,4.50851988,0.01011277,0.26452732
6,"[16, 8]",0.6,0.002,32,8,52.27910781,18.68476275,7.57517982,0.02223103,0.83354563,15.24361432,4.06516226,0.00941655,0.254148
6,"[16, 8]",0.6,0.004,32,6,39.26145935,22.25949014,10.00343171,0.02551156,0.76376162,17.20389625,8.00975994,0.0153334,0.04998517
6,"[16, 8]",0.1,0.002,32,14,92.06771255,16.33051792,4.34719538,0.01719859,0.87284895,15.01619335,3.5377111,0.00864425,0.27623686
6,"[16, 8]",0.1,0.004,32,14,94.83005953,16.43556987,5.15633285,0.01859292,0.8712078,14.93365716,3.14686011,0.00804693,0.2841713
6,[128],0.6,0.002,32,15,80.90373516,16.31700979,4.5567028,0.01748028,0.87305922,15.15396995,3.92265397,0.00923209,0.26289459
6,[128],0.6,0.004,32,16,84.12265754,16.1690723,4.57159262,0.01743635,0.87535059,15.22306627,4.30002941,0.00980859,0.25615743
6,[128],0.1,0.002,32,15,75.07871866,15.97778851,4.34045593,0.01714157,0.8782824,15.11213807,3.63173387,0.00878838,0.26695847
6,[128],0.1,0.004,32,11,65.77511406,16.17228111,4.35271121,0.01722883,0.87530111,14.92067728,2.77820465,0.00750131,0.28541511
6,"[32, 16]",0.6,0.002,32,6,43.82937264,18.73098394,7.98841149,0.02273252,0.83272108,16.45867745,7.78287041,0.01505026,0.13050593
6,"[32, 16]",0.6,0.004,32,6,42.50477433,19.35105733,8.97786399,0.02464941,0.82146251,15.43049258,4.58911342,0.0102064,0.23574844
6,"[32, 16]",0.1,0.002,32,18,113.90681148,16.36076289,5.24253642,0.01875434,0.87237754,15.05205536,3.83697787,0.00909298,0.27277572
6,"[32, 16]",0.1,0.004,32,14,97.49522424,16.24074429,4.718377,0.01783518,0.87424308,15.0398596,3.64075457,0.00879923,0.27395369
6,[64],0.6,0.002,32,14,69.17158961,16.58302447,4.85614284,0.0180379,0.86888647,15.08797964,3.01575755,0.00784947,0.26930029
6,[64],0.6,0.004,32,18,88.54193044,19.92172789,10.4343165,0.02784391,0.81077695,14.99993593,2.86640463,0.00762382,0.27780319
