Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2,error
1,[256],0.0,0.0005,32.0,23.0,101.99978232,15.68443693,4.04940812,0.01637458,0.88271784,15.31299832,4.40278042,0.00997615,0.24618354,
1,[256],0.0,0.002,32.0,18.0,79.51179433,15.48442376,4.04923163,0.01630212,0.88569001,15.46435483,4.40823602,0.00999334,0.23120817,
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,[256],0.4,0.0001,32.0,30.0,139.74756169,16.13606233,4.27442305,0.01702482,0.87586644,15.48311155,4.48444758,0.01009255,0.2293421,
1,[256],0.4,0.0005,32.0,22.0,106.74727488,15.98107646,4.06783491,0.01667479,0.87823958,15.20039188,4.00011558,0.00934844,0.25722938,
1,[256],0.4,0.002,32.0,23.0,110.44019675,15.73921132,3.96220872,0.0163264,0.88189725,15.22976706,4.10711967,0.00950326,0.25435576,
1,[256],0.2,0.0001,32.0,31.0,146.07740474,15.99394984,4.07614469,0.01667316,0.87804333,15.38143936,4.48780492,0.01009319,0.23943015,
1,[256],0.2,0.0005,32.0,23.0,111.99682355,15.80318959,4.101242,0.01652504,0.88093515,15.34792943,4.34502559,0.00987891,0.24274049,
1,[256],0.2,0.002,32.0,22.0,110.61339378,15.33835621,3.96013853,0.01585536,0.88783646,15.31125995,4.23335318,0.00971723,0.24635468,
1,[256],0.0,0.0001,32.0,25.0,110.65063095,15.97328443,4.08816857,0.0166746,0.87835829,15.30286174,4.02159162,0.00937901,0.2471812,
1,[256],0.0,0.0005,32.0,15.0,65.93060446,15.94811519,4.33035501,0.01701544,0.87874133,15.31330601,4.13324576,0.00955391,0.24615324,
1,[256],0.0,0.002,32.0,9.0,42.71972227,16.15377057,4.58025791,0.01747094,0.87559383,15.6518022,4.76864011,0.01051712,0.21245777,
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 256), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 256), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 256), dtype=float32)
  • training=True"
1,"[128, 64]",0.0,0.0001,32.0,38.0,208.70079851,15.84076289,4.07707662,0.01654941,0.8803683,15.29580614,4.38087393,0.00992573,0.24787523,
1,"[128, 64]",0.0,0.0005,32.0,28.0,178.6016984,15.36116281,4.02472857,0.01595084,0.88750266,15.2112453,4.14075612,0.00956111,0.25616829,
1,"[128, 64]",0.0,0.002,32.0,23.0,136.69689536,14.84573799,3.98094548,0.01518191,0.89492542,15.59210448,4.57954975,0.01025771,0.21845386,
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
