learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.03,2000,9,60.9937,0.9162478,0.48497171,0.00088301,0.99957334,15.63269008,4.47592204,0.01006579,0.21424338
0.03,3000,1,18.3915,16.13746276,4.08188219,0.01500847,0.86765005,15.16203043,3.94725627,0.00925748,0.2608453
0.03,3000,2,22.4255,14.67023155,3.79090284,0.01308872,0.8906227,17.20444803,4.61080796,0.01023988,0.04829555
0.03,3000,3,22.6921,11.39341377,3.33835473,0.01010587,0.9340278,19.23571177,4.48433745,0.0100292,-0.18969911
0.03,3000,4,27.7364,7.87751071,2.75774707,0.00719479,0.96846221,19.49278233,4.92754716,0.01071051,-0.22171043
0.03,3000,5,29.5768,5.00772326,2.10526073,0.00468082,0.98725517,18.74658227,4.6824667,0.01034685,-0.12996455
0.03,3000,6,37.0307,3.08586201,1.47864994,0.00296534,0.99516044,18.66272133,6.50912264,0.01311856,-0.1198776
0.03,3000,7,54.486,1.72248885,0.89722441,0.00167575,0.99849212,16.61776667,4.98171062,0.01083081,0.11209617
0.03,3000,8,70.6457,0.87613352,0.47347773,0.00085402,0.99960988,15.57575869,4.14117452,0.00954391,0.21995612
0.03,3000,9,98.8648,0.3578499,0.20203854,0.00035285,0.99993492,15.69691778,4.62181603,0.01028905,0.20777347
0.05,50,1,1.8513,21.89454984,10.48260014,0.02569221,0.75637307,16.12934748,6.89120791,0.01368113,0.1635226
0.05,50,2,0.9393,17.72453505,6.31151752,0.01900152,0.84033749,15.24838905,4.29123761,0.00975913,0.25240129
0.05,50,3,1.1359,16.96950216,5.67772651,0.01779927,0.85365043,15.09988416,4.06756288,0.00942105,0.26689219
0.05,50,4,1.0195,16.35972088,5.40021764,0.0166521,0.86397929,14.9904997,4.07854289,0.00944052,0.27747507
0.05,50,5,1.254,15.56870337,5.17026692,0.01540911,0.87681491,14.99077139,4.08977254,0.00945579,0.27744888
0.05,50,6,1.3094,14.38400652,4.94698339,0.01424521,0.8948491,14.97851307,3.89962123,0.00916778,0.2786301
0.05,50,7,2.3443,12.70103547,4.69301627,0.01315219,0.91801554,15.05588182,3.84917482,0.00908357,0.27115864
0.05,50,8,4.0437,11.4219125,4.48135274,0.01227823,0.93369735,15.11894957,3.69274588,0.00884267,0.26503975
0.05,50,9,2.302,10.55482794,4.3078042,0.0117298,0.94338186,15.07577197,3.74360646,0.00891999,0.26923164
0.05,100,1,1.1307,17.83002183,6.29805663,0.01897763,0.83843138,15.23103845,4.3725519,0.00988611,0.25410166
