Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMA(4, 0, 12)x(1, 0, 0, 24)",Ya,0.433134,Ya,0.001000,Tidak,296.93370104,25.03438086,26.42138964,9.76183420,19.49889664,0.02429768,3.31955636,0.68148714,-1.24456365
"SARIMA(4, 0, 12)x(0, 0, 1, 24)",Tidak,0.993369,Ya,0.001000,Tidak,253.60913396,19.44124825,21.12510441,5.32260843,13.68664894,0.01731557,2.42659680,0.80791142,-0.43488912
"SARIMA(4, 0, 12)x(1, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,741.85070562,19.41890601,20.55118817,5.43114708,12.79976634,0.01749882,2.28757896,0.80835267,-0.35798348
"ARIMA(4, 0, 13)",Tidak,1.000000,Ya,0.001000,Tidak,134.55460191,19.17216298,27.00526919,5.37639666,19.34468360,0.01743243,3.24749424,0.81319199,-1.34486387
"SARIMA(4, 0, 13)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,360.63555193,24.92566796,23.20654575,10.12971915,15.17787461,0.02484517,2.64643492,0.68424745,-0.73157624
"SARIMA(4, 0, 13)x(0, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,259.68330503,19.44008152,20.99050559,5.32278411,13.20169623,0.01731264,2.35124467,0.80793447,-0.41666255
"SARIMA(4, 0, 13)x(1, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,552.80298233,19.41866822,20.79142727,5.41460371,13.06591222,0.01747121,2.31611168,0.80835736,-0.38991813
"ARIMA(4, 0, 14)",Tidak,1.000000,Ya,0.001000,Tidak,145.29394293,19.17116192,27.54298912,5.38784050,20.18055631,0.01745273,3.37392822,0.81321150,-1.43917385
"ARIMA(4, 0, 14)",Tidak,1.000000,Ya,0.001000,Tidak,224.02394271,19.17116192,27.54298912,5.38784050,20.18055631,0.01745273,3.37392822,0.81321150,-1.43917385
"SARIMA(4, 0, 14)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,1292.65049505,24.80417918,25.73250211,10.01132709,17.37637867,0.02471471,2.96219491,0.68731793,-1.12904406
"SARIMA(4, 0, 14)x(0, 0, 1, 24)",Tidak,0.999999,Ya,0.001000,Tidak,465.33673429,19.44435760,21.01852775,5.28889964,13.48426508,0.01725890,2.38160839,0.80784997,-0.42044754
"SARIMA(4, 0, 14)x(1, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,994.3519969,19.41827608,22.86072925,5.40337786,14.14995018,0.01745195,2.47055394,0.80836510,-0.68035396
"ARIMA(4, 0, 15)",Tidak,1.000000,Ya,0.001000,Tidak,334.36332059,19.16961729,27.27625787,5.38637445,19.76420403,0.01744704,3.31094404,0.81324160,-1.39215981
"SARIMA(4, 0, 15)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,698.36149502,24.70740380,24.06948711,10.05019038,15.82732146,0.02478713,2.73693973,0.68975308,-0.86274878
"SARIMA(4, 0, 15)x(0, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,390.65657926,19.44180154,21.43976723,5.28969237,13.69081434,0.01725904,2.41019293,0.80790048,-0.47795342
"SARIMA(4, 0, 15)x(1, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,1120.37450337,19.41579996,28.04360579,5.39370575,18.81969817,0.01743208,3.17161328,0.80841397,-1.52864767
"ARIMAX(1, 0, 0)",Error,Error,Error,Error,Error,25.50238252,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(2, 0, 0)",Ya,0.000000,Tidak,0.001000,Tidak,89.38193297,19.48026478,16.73325954,5.03073981,6.78492287,0.01687548,1.36358847,0.80713964,0.09971149
"ARIMAX(3, 0, 0)",Error,Error,Error,Error,Error,90.28005958,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 1)",Error,Error,Error,Error,Error,58.09653449,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 2)",Error,Error,Error,Error,Error,70.83467102,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 3)",Error,Error,Error,Error,Error,93.84460568,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 4)",Error,Error,Error,Error,Error,103.0725472,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 5)",Error,Error,Error,Error,Error,120.91651082,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 6)",Error,Error,Error,Error,Error,135.37540317,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 7)",Error,Error,Error,Error,Error,150.62345982,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 8)",Error,Error,Error,Error,Error,194.2208519,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 9)",Error,Error,Error,Error,Error,194.46799564,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 10)",Error,Error,Error,Error,Error,230.51262927,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 11)",Error,Error,Error,Error,Error,235.30730176,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 12)",Error,Error,Error,Error,Error,282.1453979,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 13)",Error,Error,Error,Error,Error,298.84312916,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 14)",Error,Error,Error,Error,Error,370.83753753,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 15)",Error,Error,Error,Error,Error,349.60564637,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 16)",Error,Error,Error,Error,Error,439.79188752,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 17)",Error,Error,Error,Error,Error,477.90628099,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 18)",Error,Error,Error,Error,Error,521.98318291,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 19)",Error,Error,Error,Error,Error,519.12988949,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 20)",Error,Error,Error,Error,Error,616.19518542,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 21)",Error,Error,Error,Error,Error,694.35773802,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 22)",Error,Error,Error,Error,Error,819.42701077,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 23)",Error,Error,Error,Error,Error,779.89309835,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 24)",Error,Error,Error,Error,Error,948.2413559,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 25)",Error,Error,Error,Error,Error,1039.1649096,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 26)",Error,Error,Error,Error,Error,1317.4455018,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 27)",Error,Error,Error,Error,Error,1271.35294867,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 28)",Ya,0.000000,Tidak,0.001000,Tidak,1468.44112778,30.00867839,441.83538146,17.39246313,439.01088022,0.03625034,67.05326053,0.54233574,-626.68477600
"ARIMAX(0, 0, 29)",Error,Error,Error,Error,Error,1521.51848364,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(0, 0, 30)",Ya,0.000000,Tidak,0.001000,Tidak,1744.23950458,29.75318015,440.42413033,16.94303460,437.70602205,0.03552426,66.85543421,0.55009580,-622.68144714
"ARIMAX(0, 0, 31)",Ya,0.000000,Tidak,0.001000,Tidak,1762.80225134,29.56399325,442.40812416,16.81726217,439.74219404,0.03532506,67.16488989,0.55579909,-628.31314209
"ARIMAX(1, 0, 1)",Ya,0.000000,Tidak,0.001000,Tidak,91.34792972,19.05572335,18.89764991,5.53757906,10.89669663,0.01764146,1.97982324,0.81545421,-0.14824936
