Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMAX(3, 0, 6)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,395.43810225,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(3, 0, 7)",Error,Error,Error,Error,Error,94.3547101,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 7)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,445.14480066,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 7)x(0, 0, 1, 24)",Error,Error,Error,Error,Error,544.9000113,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 8)x(0, 0, 1, 24)",Error,Error,Error,Error,Error,637.09027958,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 8)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,1008.44063354,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 9)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,609.24679017,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 10)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,496.8345561,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 11)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,885.53987312,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 12)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,964.00067401,27.06480380,43.10908716,11.26909672,38.06342686,0.02635878,6.17423735,0.62772573,-4.97528009
"SARIMAX(3, 0, 13)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,1234.75472021,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 14)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,789.64993739,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 15)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,1277.59404421,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,400.75721836,28.28121774,83.05697686,14.02177462,68.35696082,0.03058788,10.70131573,0.59351037,-21.18057769
"SARIMAX(4, 0, 2)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,1060.3189435,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 2)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,1207.98192811,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 3)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,767.99935579,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 3)x(0, 0, 1, 24)",Error,Error,Error,Error,Error,396.94135404,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 4)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,806.84116149,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 6)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,515.33889747,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 7)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,367.39260912,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 8)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,341.40932298,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 8)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,403.01835561,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 10)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,1006.2277801,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 11)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,609.13782811,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 12)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,1098.54460001,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(4, 0, 14)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,1021.40403152,26.00391996,42.67545469,11.79643513,38.03989741,0.02718461,6.17209258,0.65633849,-4.85567451
"SARIMAX(4, 0, 15)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,1296.63278008,30.44219410,41.40654005,16.46853130,31.17086029,0.03441458,5.08183966,0.52901708,-4.51262561
