Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
3,"[128, 64]",0.4,0.002,32,31,206.23930907,16.44285514,4.40508202,0.017309,0.87110559,15.15080264,4.83056176,0.01061302,0.26232368
3,"[128, 64]",0.4,0.005,32,19,116.233531,16.36599753,4.681549,0.01772017,0.87230773,15.12153574,4.77411596,0.01052728,0.26517087
3,"[64, 32]",0.4,0.002,32,8,50.11882782,16.9139739,5.15788219,0.01853233,0.86361364,15.14475455,4.27839485,0.00977603,0.26291251
3,"[64, 32]",0.4,0.005,32,7,51.84392905,17.42343687,6.41173417,0.02075056,0.85527376,15.07908748,3.76762179,0.00899911,0.26929062
