Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
3,"[8, 4]",0.6,0.002,32,7,53.71879244,21.34067759,10.22355597,0.02635042,0.7828819,17.53871235,10.071859,0.0185444,0.01146973
3,"[8, 4]",0.6,0.004,32,6,40.61307216,21.37997857,10.52509373,0.02715755,0.78208147,15.95100022,6.78966666,0.01356457,0.18234442
3,"[8, 4]",0.6,0.01,32,9,65.63495708,22.29186549,10.51333355,0.02659662,0.76309596,17.64244114,9.90999937,0.01823567,-0.00025773
3,"[8, 4]",0.1,0.002,32,15,98.28896737,16.85693214,5.58160686,0.01941373,0.864532,15.39515696,5.24644177,0.01124616,0.23833709
3,"[8, 4]",0.1,0.004,32,23,170.66618729,16.85360986,6.00369162,0.02015453,0.8645854,15.06176306,4.08756582,0.00947271,0.27096868
3,"[8, 4]",0.1,0.01,32,15,106.14380002,16.79459267,5.31272958,0.01876917,0.86553211,15.16295802,4.4711182,0.01005869,0.26113954
3,"[8, 4]",0.0,0.002,32,7,42.42041826,16.79549225,4.83577654,0.01802113,0.86551771,15.22840862,4.66674959,0.01035838,0.25474722
3,"[8, 4]",0.0,0.004,32,34,218.71309996,16.23772497,4.32926184,0.01716453,0.87430153,15.31048025,4.98251174,0.01084135,0.24669267
3,"[8, 4]",0.0,0.01,32,23,156.55374336,16.09108987,4.71988138,0.01768999,0.87656152,15.44011169,4.09817301,0.00948557,0.2338824
3,"[16, 8]",0.6,0.002,32,6,45.53933144,22.63556194,10.84303735,0.02695085,0.75573447,17.66509137,9.54490584,0.01768337,-0.00282774
3,"[16, 8]",0.6,0.004,32,6,40.8850584,22.50035017,10.71955186,0.02669013,0.75864395,17.7977731,9.31630425,0.01732193,-0.01794871
3,"[16, 8]",0.6,0.01,32,13,88.77111483,20.60941976,9.52287662,0.02539465,0.79750647,15.20136767,3.39168387,0.00838198,0.25739154
3,"[16, 8]",0.1,0.002,32,18,120.29344511,16.59714448,5.058659,0.01850961,0.86867531,15.25216794,4.79932472,0.01056105,0.25241992
3,"[16, 8]",0.1,0.004,32,14,94.91164446,16.79127305,5.5779979,0.01937639,0.86558527,15.26901403,4.89386031,0.01071036,0.2507676
3,"[16, 8]",0.1,0.01,32,12,82.49605584,16.69365154,5.44291819,0.01900446,0.86714365,15.25930067,3.87457559,0.00917636,0.25172054
3,"[16, 8]",0.0,0.002,32,27,158.33539224,16.36150629,4.3005869,0.01718473,0.87237781,15.44851572,5.50959278,0.01164096,0.23304818
3,"[16, 8]",0.0,0.004,32,20,130.35255122,16.06102523,4.8505051,0.01796541,0.87702236,15.32401751,4.73033269,0.01045686,0.24535996
3,"[16, 8]",0.0,0.01,32,17,105.28309464,15.83651045,5.02962076,0.01796343,0.8804365,15.60913982,4.46784405,0.01007056,0.21701669
3,[128],0.6,0.002,32,13,65.99734402,16.70055075,4.90626361,0.01818693,0.86703381,15.09771299,3.86929508,0.00915401,0.26748437
3,[128],0.6,0.004,32,25,130.54689002,16.32486888,4.39751642,0.01724181,0.87294872,15.29585096,4.88154324,0.01069292,0.24813157
3,[128],0.6,0.01,32,20,101.62330389,15.04239198,4.50282236,0.01516414,0.89212683,15.49308316,5.16382482,0.01111944,0.22861664
