learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.01,500,6,1.5232,12.76702779,3.28188664,0.01057272,0.91716138,14.8597303,2.57910689,0.00716826,0.29002596
0.01,500,7,1.9819,11.22015711,2.99271204,0.00923274,0.93601898,14.85664258,2.50878865,0.00705801,0.29032098
0.01,500,8,2.8421,9.80838993,2.71993718,0.00814092,0.95110677,14.87409588,2.57050789,0.00714997,0.28865257
0.01,500,9,3.5284,8.65462453,2.47616326,0.00728525,0.96193291,14.87581061,2.51785067,0.00707119,0.28848855
0.01,1000,1,1.2035,16.60992445,4.53280034,0.01596944,0.85978691,15.09616857,3.64221615,0.00879203,0.26725294
0.01,1000,2,1.4065,16.12937131,4.12696266,0.01495188,0.86778274,15.06158734,3.61797044,0.00875688,0.27060614
0.01,1000,3,1.6319,15.52551669,3.89028095,0.01410994,0.87749738,14.92323098,3.33531776,0.00832521,0.28394507
0.01,1000,4,1.8806,14.32961999,3.62301655,0.01250766,0.89564275,15.24142764,3.44359013,0.00847599,0.25308374
0.01,1000,5,2.6815,12.81961567,3.34790098,0.01076842,0.91647754,16.12686012,3.5860353,0.00868312,0.16378057
0.01,1000,6,2.7511,11.2629229,3.05980448,0.00926244,0.93553032,16.73246091,4.00689049,0.00931406,0.09979742
0.01,1000,7,3.5149,9.57475378,2.74070356,0.007866,0.95340831,16.07863016,3.64935972,0.00876434,0.16877479
0.01,1000,8,4.8902,8.03092514,2.41695585,0.00662957,0.96722185,15.39788804,3.10453315,0.00795905,0.23767014
0.01,1000,9,6.1681,6.76793513,2.12887912,0.00564508,0.97672093,15.18573561,3.17127929,0.00805404,0.25853222
0.01,2000,1,2.3081,16.35506014,4.21534485,0.01526944,0.86405678,15.06809823,3.58196151,0.00870453,0.26997539
0.01,2000,2,3.305,15.83439605,4.01116197,0.01449582,0.87257452,15.24649088,4.09275176,0.00947602,0.25258741
0.01,2000,3,3.144,14.77483147,3.76879774,0.01329165,0.8890574,17.39887009,4.63379575,0.01027078,0.02666418
0.01,2000,4,3.5238,13.11117468,3.4744315,0.01136756,0.9126352,19.33746019,4.74207943,0.0104155,-0.20231836
0.01,2000,5,4.5586,11.2222321,3.14423722,0.0094597,0.93599532,22.10421137,5.16242986,0.01104258,-0.57098003
0.01,2000,6,5.3074,9.40443185,2.81317008,0.00777211,0.95505117,22.91877549,5.87623653,0.01212467,-0.68889805
0.01,2000,7,6.9443,7.430378,2.42998736,0.00618237,0.97194081,19.18289461,5.21949096,0.01113358,-0.18317476
0.01,2000,8,8.7546,5.80759681,2.04267721,0.00487559,0.9828586,16.73883668,4.22133696,0.00964453,0.09911126
0.01,2000,9,11.902,4.44918251,1.68306156,0.00382039,0.98993964,15.96978458,4.1343731,0.00951633,0.17999079
0.01,3000,1,4.0576,16.29875616,4.15395652,0.01514431,0.86499117,15.09178629,3.66806638,0.0088355,0.26767829
0.01,3000,2,4.1436,15.63599564,3.96580915,0.014238,0.87574773,15.91633678,4.50543923,0.01009473,0.18547043
0.01,3000,3,4.4727,14.20720185,3.68238022,0.01264624,0.89741819,18.64416326,4.77551345,0.01047709,-0.11765151
0.01,3000,4,5.7437,12.19856101,3.3476924,0.0104221,0.92437412,24.32476315,5.75003518,0.01192212,-0.90247016
0.01,3000,5,6.3155,10.0374373,2.97733814,0.0084026,0.94879658,25.59557155,5.88854037,0.01213195,-1.10644575
0.01,3000,6,8.0229,8.0505043,2.59849422,0.0067128,0.96706183,25.43464365,6.75877304,0.01345135,-1.08004116
0.01,3000,7,10.2066,6.05593688,2.15480711,0.00511394,0.98136129,19.96550368,5.76288804,0.01194424,-0.28168457
0.01,3000,8,13.381,4.45410244,1.72039719,0.00381344,0.98991737,17.14923061,4.60215131,0.01021763,0.05439471
0.01,3000,9,18.2298,3.18291727,1.31731922,0.00279407,0.99485122,16.17967402,4.41453491,0.00993852,0.15829453
0.03,50,1,0.1947,26.50688571,14.60674923,0.03226375,0.64291577,17.51297496,9.57041982,0.01772544,0.0138557
0.03,50,2,0.207,20.88302415,10.40412869,0.02553768,0.77836413,16.29245843,7.11680702,0.01401526,0.146519
0.03,50,3,0.2088,19.59745261,9.56503115,0.02417222,0.80481227,16.22392977,7.41217345,0.01447723,0.15368365
0.03,50,4,0.2254,18.97556007,9.34916658,0.02335968,0.81700363,16.05359733,7.13294229,0.01405226,0.17136105
0.03,50,5,0.257,18.42838404,9.19523008,0.0224434,0.82740518,16.08314618,7.2189412,0.01418182,0.16830779
0.03,50,6,0.3045,17.73227862,9.01554672,0.02149398,0.84019795,16.04206693,7.12261949,0.01403445,0.17255095
0.03,50,7,0.3497,16.72746025,8.84877577,0.02076974,0.85779552,16.0119411,7.08891218,0.01398302,0.17565581
0.03,50,8,0.4543,16.0687039,8.69781013,0.02028037,0.86877549,15.91744759,6.88105286,0.0136662,0.18535674
0.03,50,9,0.4913,15.44660535,8.58271864,0.01986012,0.8787395,15.94293653,6.74717992,0.01345808,0.18274564
0.03,100,1,0.2456,20.63766565,9.22728267,0.02368163,0.78354162,15.68116029,5.88743062,0.01216767,0.20936324
0.03,100,2,0.2601,17.25900928,5.55744687,0.01776957,0.84861425,15.1607045,4.02990986,0.00936704,0.26097458
0.03,100,3,0.2987,16.65883915,5.01513722,0.01666297,0.85895986,14.98499067,3.72044932,0.00890152,0.27800603
0.03,100,4,0.3241,16.06484911,4.66714825,0.01550108,0.86883844,14.87592882,3.40046351,0.00841197,0.28847724
0.03,100,5,0.3702,15.28936793,4.42420047,0.01411075,0.88119566,14.86638409,3.30585755,0.00826929,0.28939
0.03,100,6,0.4339,14.22716501,4.18942805,0.012769,0.8971297,14.8421018,3.21063564,0.00812408,0.29170948
0.03,100,7,0.5229,12.55756877,3.93948615,0.01148786,0.91985722,14.83969218,3.16824204,0.0080576,0.29193945
0.03,100,8,0.6619,11.4633168,3.72205816,0.01068947,0.93321578,14.82904975,3.04681396,0.00787121,0.29295467
0.03,100,9,0.8427,10.40416121,3.54361756,0.01005842,0.94498674,14.94126476,3.25889062,0.00818706,0.28221342
0.03,200,1,0.3491,17.34408904,5.6254755,0.01789159,0.84711804,15.10548179,3.85982764,0.009112,0.26634855
0.03,200,2,0.3849,16.4449613,4.40552353,0.01565026,0.86255816,15.06700929,3.64809119,0.00879929,0.2700809
0.03,200,3,0.4417,15.96462841,4.07875863,0.01486446,0.87046984,14.90399916,3.28659795,0.00825156,0.28578947
0.03,200,4,0.7892,15.08062623,3.79660702,0.01349885,0.88441752,14.82668827,2.92835865,0.00770249,0.29317984
0.03,200,5,0.9129,13.81267567,3.5260135,0.01169814,0.90303637,15.00604145,2.90513809,0.00766657,0.27597611
0.03,200,6,0.6828,12.51860744,3.24518156,0.01028698,0.92035376,14.80929366,2.45564792,0.00698272,0.29483734
0.03,200,7,0.8778,10.77457922,2.9364356,0.00882284,0.94099974,14.87195833,2.60873044,0.00721236,0.28885701
0.03,200,8,1.1124,9.47545006,2.63576503,0.00773716,0.95436974,14.87259524,2.52802876,0.00708704,0.2887961
0.03,200,9,1.4632,8.24763584,2.38032124,0.0068391,0.96542898,14.9343592,2.93574107,0.00770046,0.28287676
0.03,500,1,0.6719,16.44410213,4.34632803,0.01552852,0.86257252,15.04423845,3.55279831,0.00865882,0.2722855
0.03,500,2,0.7648,15.98323712,4.1055328,0.0147469,0.8701677,15.08995127,3.8624554,0.0091275,0.26785637
0.03,500,3,0.889,15.16588983,3.86679393,0.01375731,0.88310685,15.0736996,3.62535344,0.00876149,0.26943254
0.03,500,4,0.9848,13.6269186,3.5679684,0.0118993,0.90562682,17.33194012,4.26256932,0.00970016,0.03413824
0.03,500,5,1.1753,11.92646188,3.25823221,0.01006699,0.92771029,19.91577623,4.40784861,0.00991442,-0.27530802
0.03,500,6,1.5289,10.35087576,2.95606151,0.00862252,0.9455488,21.7148966,4.84407962,0.01055994,-0.51612897
0.03,500,7,2.0701,8.56517475,2.6120175,0.00708318,0.96271572,17.00406142,3.97989936,0.00928203,0.07033615
0.03,500,8,2.3076,6.77075895,2.24338424,0.00568413,0.9767015,16.2370898,3.79808318,0.00901542,0.15231012
0.03,500,9,2.999,5.58954518,1.94584187,0.00470041,0.98412162,15.95740285,3.82597757,0.0090386,0.18126184
0.03,1000,1,1.1967,16.32667182,4.21013804,0.01523926,0.8645283,15.07164923,3.62899026,0.008776,0.26963127
0.03,1000,2,1.4451,15.65726023,4.00079252,0.0142705,0.87540954,15.92383464,4.64995075,0.01031432,0.18470283
0.03,1000,3,1.8925,14.19289756,3.70522628,0.01265685,0.89762465,16.82923789,4.3012653,0.0097659,0.08935415
0.03,1000,4,2.1081,12.10171029,3.35202626,0.01036328,0.92557022,23.41550818,5.56605839,0.01164776,-0.76290045
0.03,1000,5,2.1599,10.02515318,2.98784289,0.008395,0.94892183,25.31240088,5.80386042,0.01201146,-1.06009522
0.03,1000,6,2.6532,7.98591951,2.60758505,0.00673221,0.9675882,28.03328454,7.29322335,0.01421266,-1.52678671
0.03,1000,7,3.3872,6.08549912,2.18867255,0.00517813,0.98117887,19.2455777,4.83353713,0.01055904,-0.19091981
0.03,1000,8,4.8194,4.3565662,1.71968887,0.00378604,0.99035412,17.41705343,4.4066079,0.00993877,0.02462868
0.03,1000,9,5.9764,3.2255085,1.34954693,0.00284491,0.99471251,16.5245644,4.62697963,0.01025393,0.12202802
0.03,2000,1,2.787,16.25265817,4.17254446,0.01515212,0.86575378,15.13527349,3.91651804,0.00921493,0.26345182
0.03,2000,2,3.0132,15.17559188,3.90500663,0.01380364,0.88295724,21.52288433,5.88613776,0.01215648,-0.48943501
