Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
6,"[16, 8]",0.4,0.0001,32,40,283.02506351,19.11964849,9.39671003,0.02587399,0.82570704,15.44923641,5.62779097,0.01183392,0.2338906
6,"[16, 8]",0.4,0.0005,32,10,70.95331407,17.87623349,6.83633971,0.02104045,0.84763961,16.08229795,7.12170715,0.01409646,0.16981867
6,"[16, 8]",0.4,0.002,32,6,42.85673118,18.81035174,8.03722283,0.02284812,0.83130047,16.4308514,7.76429439,0.0150309,0.13344349
6,"[16, 8]",0.2,0.0001,32,38,258.12902451,16.95927104,5.68852324,0.01942086,0.8628694,15.64617222,6.28069353,0.01283082,0.21423448
6,"[16, 8]",0.2,0.0005,32,14,89.4622612,17.19910045,6.2727678,0.0204645,0.85896351,15.3163391,5.323214,0.01135787,0.24701435
6,"[16, 8]",0.2,0.002,32,10,67.65608454,16.80985884,5.30436577,0.01879475,0.86527501,15.23924907,4.89735538,0.01071209,0.25457511
6,[128],0.4,0.0001,32,24,128.29614162,16.58791194,4.62575415,0.01769374,0.86880917,15.71952739,6.10838611,0.01257092,0.20684927
6,[128],0.4,0.0005,32,23,112.69983697,16.46955641,4.49727948,0.01757098,0.8706746,15.07945061,3.71317069,0.00891869,0.27012617
6,[128],0.4,0.002,32,13,74.13055873,16.48438212,4.26173867,0.01710938,0.87044166,15.03431697,2.81065425,0.00754328,0.27448873
6,[128],0.2,0.0001,32,36,183.51570916,16.44986386,4.28482155,0.01715665,0.87098368,15.58746712,5.973993,0.01236381,0.22011987
6,[128],0.2,0.0005,32,15,74.88578129,16.44616041,4.17345029,0.01698549,0.87104177,15.19893005,4.37960606,0.00993352,0.25851429
6,[128],0.2,0.002,32,20,99.22354722,16.19549258,4.40158619,0.01720505,0.8749429,14.90050854,2.56554063,0.00717292,0.28734565
6,"[32, 16]",0.4,0.0001,32,29,193.32631516,17.06311759,5.6551283,0.0192772,0.86118487,15.52572584,5.6803135,0.01190487,0.22628577
6,"[32, 16]",0.4,0.0005,32,15,101.13667989,17.70301605,7.19507526,0.0220923,0.850578,15.16711141,4.37794791,0.00992486,0.2616156
6,"[32, 16]",0.4,0.002,32,10,64.27133965,18.30628965,8.21024556,0.02383117,0.84022064,14.97926089,2.86635791,0.00762394,0.27979269
6,"[32, 16]",0.2,0.0001,32,40,262.69620776,16.76919121,5.25774143,0.0187241,0.86592609,15.25550086,5.02509408,0.01090621,0.25298436
6,"[32, 16]",0.2,0.0005,32,11,72.03275514,16.71274874,5.01544923,0.0183692,0.86682712,15.29390499,5.08010686,0.01099449,0.24921855
6,"[32, 16]",0.2,0.002,32,12,78.5332799,16.78817964,5.53033429,0.01932299,0.86562229,14.96286244,2.86263874,0.00762178,0.28136871
6,[64],0.4,0.0001,32,35,169.32911801,16.65081807,4.75092424,0.01788552,0.86781226,15.54658845,5.65724143,0.01187296,0.22420503
6,[64],0.4,0.0005,32,21,101.9429121,16.52652089,4.4522479,0.01748869,0.86977844,15.11394823,3.74821649,0.00897793,0.26678285
6,[64],0.4,0.002,32,17,89.77579761,16.47777451,4.50601071,0.01757786,0.8705455,15.03590844,3.52441506,0.00862903,0.27433513
6,[64],0.2,0.0001,32,35,177.34560513,16.50797284,4.53625767,0.01754125,0.87007057,15.43227827,5.40201984,0.0114888,0.23557154
6,[64],0.2,0.0005,32,18,90.41032434,16.37820585,4.22435627,0.01708382,0.87210526,15.09291805,4.1927967,0.00964659,0.26882189
6,[64],0.2,0.002,32,17,83.57120132,16.34883282,4.42776566,0.01746926,0.87256359,15.1146741,4.41834363,0.0099912,0.26671242
6,"[64, 32]",0.4,0.0001,32,39,253.26083183,16.66231621,4.92959263,0.01820533,0.86762963,15.28627093,4.84573025,0.01064025,0.24996788
6,"[64, 32]",0.4,0.0005,32,13,88.98541379,16.62113733,4.78967498,0.01800028,0.8682831,15.19305526,4.2716419,0.00977872,0.25908738
6,"[64, 32]",0.4,0.002,32,11,74.96213627,16.8387471,5.42342965,0.0191718,0.86481155,14.96811428,2.51838422,0.00710685,0.28086416
6,"[64, 32]",0.2,0.0001,32,34,223.04469514,16.52992501,4.59924333,0.01768667,0.86972479,15.21800457,4.40029863,0.00996409,0.256652
6,"[64, 32]",0.2,0.0005,32,17,110.31361628,16.45076946,4.34414142,0.01729013,0.87096948,15.0451518,3.3720673,0.00840537,0.27344264
6,"[64, 32]",0.2,0.002,32,12,82.15918064,16.43978863,4.52901398,0.01763501,0.87114167,15.06462597,3.69982537,0.00889876,0.27156054
48,"[16, 8]",0.4,0.0001,32,36,287.48601794,19.19120455,9.86358553,0.02441032,0.82322037,16.1603943,5.59992967,0.01187049,0.17968515
48,"[16, 8]",0.4,0.0005,32,21,172.29422045,21.11836027,12.33886102,0.02903679,0.78593379,15.27586651,3.57933939,0.00881605,0.26702633
48,"[16, 8]",0.4,0.002,32,8,63.71770048,17.75734768,7.66521455,0.02055783,0.84864947,15.78221835,6.38077358,0.01304296,0.21762897
48,"[16, 8]",0.2,0.0001,32,40,319.39344978,16.54125882,5.68518928,0.01738364,0.86866972,15.43872205,4.56073166,0.01029376,0.2513146
48,"[16, 8]",0.2,0.0005,32,17,137.57104993,16.36465812,5.12831282,0.01640848,0.87145902,15.21628954,3.6798524,0.00895785,0.27273248
48,"[16, 8]",0.2,0.002,32,11,92.53720546,16.77326089,6.4568447,0.01879133,0.8649599,15.14947764,3.99028506,0.00942312,0.27910505
48,[128],0.4,0.0001,32,32,195.67481399,16.01428321,4.31873937,0.01520216,0.87690434,15.42329939,4.07218203,0.00956375,0.25280967
48,[128],0.4,0.0005,32,11,74.18446255,16.12396487,4.45988421,0.01537819,0.8752124,15.40965608,4.48917078,0.01018987,0.254131
48,[128],0.4,0.002,32,10,68.00670767,16.11871631,4.2783999,0.01514487,0.87529363,15.22430794,3.33548679,0.00841855,0.27196579
48,[128],0.2,0.0001,32,31,192.5690496,15.92275956,4.18184582,0.01497462,0.87830733,15.58273748,4.77653303,0.010648,0.23728169
48,[128],0.2,0.0005,32,21,121.92848206,15.78955426,3.94398509,0.01458651,0.88033491,15.35555087,4.27851001,0.00985059,0.25935948
48,[128],0.2,0.002,32,14,85.46950769,15.7798792,3.9103738,0.0145324,0.88048151,15.12442289,3.47097919,0.00861557,0.28148756
48,"[32, 16]",0.4,0.0001,32,29,225.54522014,17.55011277,7.60295651,0.02068606,0.85216149,15.76796078,4.51945222,0.01025693,0.21904191
48,"[32, 16]",0.4,0.0005,32,16,126.2529645,17.69600131,7.92104316,0.02122062,0.84969341,15.45134427,4.97911237,0.01091061,0.2500899
48,"[32, 16]",0.4,0.002,32,8,63.40840483,16.68867563,6.08729564,0.01801501,0.86631845,15.46289658,4.92344466,0.01082915,0.24896813
48,"[32, 16]",0.2,0.0001,32,31,255.57415891,16.47461337,5.32805013,0.01668504,0.86972586,15.50774375,4.60183449,0.01034083,0.24460536
48,"[32, 16]",0.2,0.0005,32,14,115.40468216,16.30951125,5.32954743,0.01689025,0.87232389,15.28316783,3.89466377,0.00928048,0.26632549
48,"[32, 16]",0.2,0.002,32,9,74.80064368,16.50043267,5.82703224,0.01770517,0.86931721,15.43544985,5.37024641,0.01150602,0.25163193
48,[64],0.4,0.0001,32,23,134.63679218,16.34005462,5.17352883,0.01658474,0.87184524,15.53992844,4.11923323,0.00962974,0.24146662
48,[64],0.4,0.0005,32,11,73.8603065,16.21385413,4.70871128,0.01581315,0.87381717,15.29256417,3.56142098,0.00878045,0.26542306
48,[64],0.4,0.002,32,16,104.90705585,15.94598168,4.19069225,0.01495995,0.87795211,15.30945859,4.29008088,0.00986834,0.26379912
48,[64],0.2,0.0001,32,21,127.50707769,16.19326623,4.62092106,0.01565144,0.87413741,15.51200775,4.23141125,0.00980567,0.2441899
48,[64],0.2,0.0005,32,16,94.15485954,15.94666658,4.16301337,0.01494618,0.87794163,15.35356219,4.22361436,0.00978445,0.25955131
48,[64],0.2,0.002,32,19,119.78826737,15.8172636,4.09449152,0.01485117,0.87991453,15.04256356,3.34979139,0.00842613,0.28924426
48,"[64, 32]",0.4,0.0001,32,32,249.33575678,16.48768042,5.65888768,0.01739468,0.86951912,15.64005626,4.22677953,0.00981523,0.23166028
48,"[64, 32]",0.4,0.0005,32,13,103.88597012,16.53428142,5.90128023,0.01783752,0.8687805,15.52038656,4.7600982,0.01060326,0.24337318
48,"[64, 32]",0.4,0.002,32,12,94.38423252,17.53041863,7.74700632,0.02107238,0.85249311,15.02592878,3.1684276,0.00815124,0.29081537
48,"[64, 32]",0.2,0.0001,32,38,309.09019423,15.96617555,4.36337358,0.01529006,0.8776428,15.43384501,4.02077942,0.00949409,0.25178754
48,"[64, 32]",0.2,0.0005,32,16,127.47448444,16.13525218,5.09963999,0.01658428,0.87503763,15.25855013,3.84424944,0.00920156,0.26868715
48,"[64, 32]",0.2,0.002,32,11,90.31200671,16.25216976,5.1687416,0.01657613,0.87322009,15.22551446,4.33313318,0.00992169,0.2718504
