learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.01,3000,7,25.2446,8.10353122,2.23841184,0.00640376,0.96662649,14.93614854,2.4044099,0.00691283,0.2827049
0.03,200,3,0.8517,16.02583171,3.99156665,0.01478665,0.86947479,14.89516542,3.10962218,0.00798064,0.28663586
0.03,200,4,0.9659,15.33589006,3.73161009,0.01323947,0.88047157,14.80446776,2.66743735,0.00730655,0.29529685
0.03,200,5,1.2412,14.41623506,3.5210948,0.01172896,0.89437737,14.77829923,2.43101652,0.00694563,0.29778593
0.03,200,6,1.5628,13.36083736,3.27011734,0.01053831,0.90927633,14.76278796,2.28573974,0.00672257,0.29925924
0.03,200,7,1.8894,12.21409715,3.00151739,0.00940835,0.92418136,14.78442213,2.18599286,0.00656741,0.29720393
0.03,500,3,1.9967,15.41321254,3.80107928,0.01355337,0.87926322,14.86391433,2.68282876,0.00733139,0.28962609
0.03,500,4,2.3092,14.48046844,3.53419808,0.01190402,0.89343404,14.80113641,2.3128234,0.00676586,0.29561397
0.03,500,5,2.7844,13.17543889,3.27719451,0.01040626,0.91177667,14.79126795,2.23399452,0.00664454,0.29655293
0.03,500,6,3.484,11.63155203,2.97926991,0.00911045,0.93124115,14.79140284,2.23741406,0.00665263,0.2965401
0.03,500,7,4.6078,10.1188043,2.66799135,0.00790781,0.94796307,14.82542484,2.30113493,0.00674815,0.2933003
0.03,1000,3,4.6991,14.78307831,3.63302153,0.01254237,0.88893352,14.87096555,2.37341988,0.00686007,0.28895195
0.03,1000,4,5.1527,13.48365796,3.348766,0.01071342,0.90760069,14.93331241,2.29713727,0.00674304,0.28297728
0.03,1000,5,5.4175,11.72232051,3.05261825,0.00919367,0.93016383,14.85819821,2.28178723,0.00672028,0.29017236
0.03,1000,6,6.5796,9.67925986,2.67406093,0.00767907,0.95238568,14.84303479,2.30542392,0.0067586,0.29162043
0.03,1000,7,8.879,8.07676085,2.24305874,0.00635263,0.96684663,14.88763177,2.38367631,0.00687697,0.28735728
0.03,2000,3,7.3577,14.04353388,3.49550451,0.01133495,0.89976807,14.89503255,2.3336225,0.00679655,0.28664858
0.03,2000,4,8.6844,12.0648583,3.16681343,0.00944051,0.92602283,15.08116724,2.43406848,0.00695547,0.2687085
0.03,2000,5,10.3759,9.75523229,2.74008425,0.0077464,0.9516353,14.95279625,2.45363021,0.00698472,0.28110503
0.03,2000,6,13.1944,7.87062527,2.24846267,0.00626628,0.96851732,14.97914542,2.506959,0.00707182,0.27856919
0.03,2000,7,17.1816,6.58401223,1.74906296,0.00508042,0.97796898,14.968553,2.55169859,0.00713629,0.27958914
0.03,3000,3,10.8839,13.45092326,3.40625036,0.01059466,0.90804879,14.94326732,2.36143917,0.00684111,0.28202099
0.03,3000,4,12.6096,11.14909226,3.03344309,0.00870409,0.93682689,15.13392818,2.53438693,0.00710833,0.26358275
0.03,3000,5,15.7595,8.79788513,2.52717581,0.00700325,0.96066222,15.00382639,2.55610056,0.00714364,0.27618984
0.03,3000,6,19.7022,7.13793634,1.98417232,0.00563515,0.97410603,15.04266593,2.61104992,0.00723385,0.27243762
0.03,3000,7,26.5253,6.04481705,1.47166131,0.00453395,0.98142967,15.03760898,2.6730984,0.00732794,0.27292671
0.05,200,3,0.7989,15.74257053,3.9216452,0.01419081,0.87404815,14.89481682,2.96545489,0.00776423,0.28666925
0.05,200,4,0.9021,14.88972564,3.64406971,0.01257142,0.88732524,14.84291143,2.47275699,0.00701018,0.29163221
0.05,200,5,1.123,13.79698382,3.39866604,0.01114117,0.90325655,14.81705483,2.33969673,0.00680465,0.29409804
0.05,200,6,1.5033,12.68911329,3.14222101,0.00987646,0.91816939,14.83496389,2.29647141,0.00673964,0.29239059
0.05,200,7,1.794,11.23429912,2.86065848,0.00870586,0.9358576,14.77548946,2.24302783,0.00665882,0.29805293
0.05,500,3,1.8511,14.96250317,3.70932504,0.01271678,0.88622109,14.79313148,2.42722329,0.00694386,0.29637567
0.05,500,4,2.289,13.73731226,3.42909109,0.01103811,0.90409157,14.87434664,2.34828903,0.00681927,0.28862858
0.05,500,5,2.8072,12.09628075,3.11779647,0.00952337,0.92563699,14.88931688,2.34969734,0.00681943,0.28719595
0.05,500,6,3.3102,10.19030599,2.77832789,0.00811656,0.94722506,14.94148132,2.40717703,0.00691285,0.28219261
0.05,500,7,4.2234,8.57958183,2.38903263,0.00683658,0.96259019,14.8920073,2.46114819,0.00699191,0.28693833
0.05,1000,3,3.6067,14.21300283,3.54411879,0.0115826,0.8973344,14.83340292,2.3287288,0.00679204,0.29253949
0.05,1000,4,4.3325,12.4967544,3.23188201,0.0097994,0.92063158,14.98271985,2.39212306,0.00689341,0.27822484
0.05,1000,5,5.3069,10.23179811,2.84615185,0.0080932,0.94679442,14.97474048,2.52301319,0.00708466,0.27899343
0.05,1000,6,6.4082,8.29280676,2.38778375,0.00662337,0.96504926,15.06792315,2.56615979,0.00716078,0.26999236
0.05,1000,7,8.6824,6.95548518,1.91223064,0.00545118,0.97541285,14.96095516,2.58832006,0.00719007,0.28032029
0.05,2000,3,7.0635,13.34567273,3.39844527,0.01048256,0.90948216,14.86630043,2.3399295,0.00681173,0.289398
0.05,2000,4,8.2277,10.89845737,3.0209674,0.00860185,0.93963526,15.08235997,2.57538275,0.00717232,0.26859282
0.05,2000,5,10.2174,8.56680325,2.49160083,0.00682572,0.96270154,15.07491134,2.65627,0.00729234,0.26931508
0.05,2000,6,13.0868,6.94197194,1.94204615,0.00549069,0.9755083,15.17817156,2.74019338,0.0074296,0.25927069
0.05,2000,7,17.3282,5.92227688,1.42688873,0.00437546,0.98217495,15.0725143,2.81466436,0.00753779,0.26954743
0.05,3000,3,10.767,12.81270458,3.34233228,0.00996887,0.91656757,14.89799063,2.44809718,0.00697653,0.28636522
0.05,3000,4,12.5653,10.01414176,2.86524559,0.00792522,0.94903398,15.15073785,2.67255847,0.00732323,0.26194593
0.05,3000,5,15.523,7.87997035,2.27446162,0.00629546,0.96844251,15.14057831,2.77488545,0.00747704,0.26293542
0.05,3000,6,19.6621,6.43832146,1.69793708,0.00500671,0.9789332,15.26175878,2.82531619,0.00756658,0.25108973
0.05,3000,7,26.3773,5.61067608,1.17732734,0.00396244,0.98400134,15.135356,2.89275341,0.00766129,0.26344379
0.1,200,3,0.7401,15.20956139,3.79238215,0.01337855,0.88243267,14.93157834,2.60521474,0.00721471,0.2831438
0.1,200,4,0.8985,14.13133782,3.52043313,0.01153105,0.8985108,14.78013228,2.23349829,0.00664669,0.29761172
0.1,200,5,1.0955,12.72047752,3.24912086,0.0100791,0.91776436,14.84329636,2.32198663,0.00677928,0.29159547
0.1,200,6,1.4962,10.9410951,2.95157533,0.00866716,0.93916201,14.84172063,2.40256918,0.00691258,0.29174586
0.1,200,7,1.962,9.4068648,2.60735856,0.00739806,0.95502791,14.97238025,2.42175774,0.0069363,0.27922069
0.1,500,3,2.372,14.21461048,3.56300171,0.01156002,0.89731117,14.97326434,2.36327377,0.00683874,0.27913557
0.1,500,4,3.041,12.58704144,3.27075315,0.00982488,0.91948059,14.8289914,2.40446482,0.00690889,0.29296023
0.1,500,5,3.8037,10.18893403,2.88826377,0.00816058,0.94723927,14.95895649,2.50897469,0.00707441,0.28051257
0.1,500,6,5.0836,8.32604005,2.43746502,0.006705,0.96476857,14.9087324,2.58451935,0.00719331,0.28533576
0.1,500,7,4.4062,7.08182342,1.99034737,0.00557068,0.97451155,15.10274743,2.63027637,0.00725824,0.26661414
0.1,1000,3,3.8462,13.37550651,3.42433949,0.01052847,0.909077,15.03804986,2.44748461,0.00696608,0.27288408
0.1,1000,4,4.8174,10.95584437,3.07206795,0.00859862,0.93899787,14.89866533,2.56000824,0.00714751,0.28630058
0.1,1000,5,5.4604,8.51105789,2.54129765,0.00690861,0.96318538,15.04717821,2.65941919,0.00730724,0.27200107
0.1,1000,6,6.6094,7.04433749,2.00714882,0.00563206,0.97478067,15.0278606,2.81366981,0.00754389,0.27386908
0.1,1000,7,8.3465,5.97752922,1.49233018,0.00449877,0.9818408,15.18334179,2.8480824,0.00758505,0.25876597
0.1,2000,3,7.4089,12.50683951,3.33398213,0.00975917,0.92050343,15.19948835,2.57787268,0.00716682,0.25718861
0.1,2000,4,9.2256,9.58965692,2.82066441,0.00761623,0.95326315,15.13225574,2.84736558,0.00759145,0.2637455
0.1,2000,5,11.4636,7.36053298,2.17574485,0.00598495,0.97246584,15.13264542,2.88000796,0.00764597,0.26370759
0.1,2000,6,11.8762,6.10941363,1.58015845,0.00469162,0.98103066,15.14401571,3.07607309,0.00794607,0.26260071
0.1,2000,7,15.9271,5.47439774,1.07179815,0.00368187,0.98476909,15.29944699,3.01160446,0.00783623,0.24738637
0.1,3000,3,11.052,11.99943833,3.29331258,0.00936561,0.92682292,15.27501896,2.8064651,0.00751623,0.24978779
0.1,3000,4,14.4911,8.90290521,2.65422032,0.00711515,0.95971747,15.2168351,2.99462088,0.00782237,0.25549215
0.1,3000,5,16.287,6.90869743,1.97543112,0.00559586,0.97574252,15.24225329,3.03738827,0.00789119,0.25300282
0.1,3000,6,16.011,5.8306716,1.36031821,0.00431156,0.98272212,15.1882594,3.14138026,0.00804755,0.25828574
0.1,3000,7,20.9161,5.35196099,0.88323873,0.00341847,0.98544276,15.3241655,3.04593182,0.00788906,0.24495249
0.03,50,8,1.5537,16.70520995,8.69053972,0.02057579,0.85817358,15.98851678,6.98022382,0.01381909,0.17806596
0.03,50,9,0.9174,16.16567156,8.57771443,0.02023135,0.86718695,16.01006886,6.91902669,0.0137244,0.17584857
0.03,50,10,1.2541,15.66175689,8.48252817,0.01992643,0.87533796,16.01560296,6.90117906,0.01369512,0.17527872
0.03,100,8,1.032,12.67724409,3.79817245,0.01132472,0.9183224,14.85316916,3.01736491,0.00782592,0.29065278
0.03,100,9,1.6382,11.73055176,3.62088979,0.01077948,0.93006571,14.93912409,2.9547127,0.00772768,0.28241908
0.03,100,10,1.9155,10.88559095,3.44179309,0.01026525,0.93977771,14.91974451,2.97821629,0.00776199,0.28427962
0.03,200,8,2.1274,10.9781152,2.73298077,0.00849643,0.93874961,14.82695409,2.12605907,0.00647613,0.2931545
0.03,200,9,2.6869,9.73184489,2.47263075,0.00763213,0.95186692,14.94346598,2.16565651,0.00653276,0.2820019
0.03,200,10,3.5519,8.80387578,2.23124693,0.00694933,0.96060863,14.9385295,2.17970552,0.00655891,0.2824762
