Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
3,[256],0.2,0.002,32,16,89.98021078,16.27663155,4.78976937,0.01784567,0.87369845,15.14128876,4.26405135,0.00974698,0.26324983
3,[256],0.2,0.004,32,11,54.82514811,16.47136921,5.11338024,0.01842396,0.87065816,15.17742047,4.57136309,0.01021867,0.25972941
3,[256],0.2,0.005,32,14,67.55869198,15.87889122,4.73047003,0.01729477,0.87979571,15.25756042,4.69403199,0.01040118,0.25189121
3,[256],0.1,0.002,32,14,76.83996534,16.37602129,4.5885303,0.01755237,0.87215127,15.43971728,5.34020866,0.01138309,0.23392154
3,[256],0.1,0.004,32,19,91.5520854,14.63468868,4.57290638,0.01623796,0.89789509,15.8135029,4.58778086,0.01023426,0.19638002
3,[256],0.1,0.005,32,15,71.32413244,15.15962816,4.73833782,0.01623709,0.89043881,15.45844758,4.65906346,0.01035033,0.23206172
3,[256],0.0,0.002,32,18,81.74835062,15.54122662,4.85493993,0.01744906,0.88485364,15.42174175,4.87284219,0.01067856,0.2357043
3,[256],0.0,0.004,32,13,60.33065963,16.13019845,5.06067081,0.01821233,0.87596077,15.34981378,4.42274023,0.00999947,0.24281712
3,[256],0.0,0.005,32,12,54.68178391,16.26363978,4.96776863,0.01814555,0.87389999,15.2302306,3.99878795,0.00936233,0.25456888
6,[256],0.2,0.002,32,16,77.0178318,15.88643128,4.4151016,0.01719022,0.87967033,15.12838829,3.51349894,0.00862673,0.26538113
6,[256],0.2,0.004,32,14,73.32298183,15.63889691,4.33697511,0.01648492,0.88339095,15.15772241,3.84682111,0.00911852,0.2625295
6,[256],0.2,0.005,32,14,68.97812891,15.13390047,4.47590101,0.01590132,0.89080022,15.20584873,4.22376762,0.00968636,0.25783907
6,[256],0.1,0.002,32,16,83.22359371,15.18297188,4.34562783,0.01525037,0.89009091,15.19563531,3.5047356,0.00860554,0.25883572
6,[256],0.1,0.004,32,10,49.89323878,16.28239777,4.37473568,0.01727649,0.87359718,15.10910795,3.36051501,0.00837486,0.2672524
6,[256],0.1,0.005,32,11,54.52621818,15.80987878,4.30425694,0.01671595,0.88082721,15.08298656,3.72803556,0.00893689,0.26978383
6,[256],0.0,0.002,32,12,61.54435539,16.08073941,4.24514929,0.01697092,0.87670881,15.18552675,3.96584182,0.0093023,0.25982148
6,[256],0.0,0.004,32,11,50.76960111,15.95226611,4.29042213,0.01705559,0.87867095,15.12108958,3.69627536,0.00889088,0.26608979
6,[256],0.0,0.005,32,11,50.46867418,15.81778116,4.29594774,0.01696996,0.88070805,15.20225097,3.94599752,0.00927096,0.25819023
12,[256],0.2,0.002,32,12,55.95759034,16.16580899,4.59637793,0.01756067,0.87538006,15.20556452,4.67722819,0.0103652,0.26013732
12,[256],0.2,0.004,32,12,55.15492868,16.23601745,5.09326497,0.01820744,0.87429525,15.14198916,4.60363282,0.01024788,0.26631121
12,[256],0.2,0.005,32,11,50.15455484,16.40760297,5.42687427,0.01882589,0.87162426,15.10753651,4.68754725,0.01036815,0.26964614
12,[256],0.1,0.002,32,12,60.94475627,16.0925113,4.54373244,0.01742703,0.87650758,15.08221933,3.83280883,0.0090779,0.27209194
12,[256],0.1,0.004,32,15,67.04247379,15.42913499,5.80733061,0.01788325,0.8864791,14.96381202,4.04590851,0.00939706,0.28347638
12,[256],0.1,0.005,32,11,49.20413136,16.29399633,5.16662374,0.01836479,0.87339586,15.01938196,4.28896727,0.00976606,0.2781447
12,[256],0.0,0.002,32,10,43.57997322,16.28229487,4.80071636,0.01791586,0.87357764,15.19595124,4.17898212,0.0096177,0.26107254
12,[256],0.0,0.004,32,10,44.15494943,16.36837768,4.94184375,0.01814451,0.87223734,15.19866524,4.56521194,0.01020445,0.26080857
12,[256],0.0,0.005,32,10,43.91443658,16.22166876,4.71232587,0.01776653,0.87451734,14.94940004,3.38728886,0.00840519,0.28485591
24,[256],0.2,0.002,32,9,54.17199779,16.59721256,5.49452995,0.01902479,0.86862077,15.1323138,3.34039168,0.0083871,0.27174547
24,[256],0.2,0.004,32,16,89.84334588,16.70952322,5.54357205,0.01695736,0.86683671,15.1477408,3.72112484,0.0089541,0.27025984
24,[256],0.2,0.005,32,18,99.6334877,13.86792236,4.30699953,0.01330113,0.9082768,15.14014536,3.98982367,0.00935948,0.27099148
24,[256],0.1,0.002,32,9,62.63066888,16.65245757,5.63218477,0.01921983,0.8677447,15.19413422,3.72963055,0.00896137,0.265783
24,[256],0.1,0.004,32,16,92.99626541,14.85050607,4.84433728,0.01556106,0.89481861,14.98257789,3.70185309,0.00889918,0.28608648
24,[256],0.1,0.005,32,9,51.53973532,16.53061513,5.82866165,0.01940037,0.86967299,15.06194637,3.65363414,0.00885162,0.2785027
24,[256],0.0,0.002,32,11,59.70634246,16.01009788,4.85988319,0.01751681,0.87775126,15.28673227,3.98399647,0.00935835,0.25680661
24,[256],0.0,0.004,32,8,55.85645247,16.62393335,5.33022276,0.01872415,0.8681974,15.13567848,3.22991656,0.00822463,0.27142158
24,[256],0.0,0.005,32,9,46.70823121,16.78948542,6.40045876,0.0203976,0.86555917,15.17909864,3.585741,0.00875695,0.26723539
