sequence_length,lstm_units,dropout_rate,learning_rate,batch_size,epochs,train_rmse,train_r2,val_rmse,val_r2,test_rmse,test_r2,test_mae,test_mape,epochs_trained,final_train_loss,final_val_loss,best_val_loss
24,[32],0.4,0.0005,32,40,14.99513795817049,0.896678424885662,22.454596344544985,0.6829253013659757,24.403680870039423,0.24467954051093943,4.133824149767558,1.8967649977712953,20,0.08028797060251236,0.16753603518009186,0.16668061912059784
24,[32],0.5,0.0005,32,40,15.166342109916723,0.8943056473157712,22.518137437609795,0.681128272500534,24.421484933754552,0.24357702821633387,4.804644783337911,1.9961168669818907,17,0.08468552678823471,0.1694246083498001,0.16762521862983704
24,[32],0.6,0.0005,32,40,15.598505672258103,0.8881963254782359,22.596752206405725,0.6788979116953326,24.528249685778107,0.23694877926316682,5.5660799741744995,2.107088111664439,16,0.08739971369504929,0.17529182136058807,0.1687978059053421
24,[32],0.7,0.0005,32,40,17.068808722096588,0.8661259166921695,22.959669651322766,0.6685008999607358,24.543185879746154,0.2360191938873759,4.670246760050456,1.9749903675044973,12,0.10418933629989624,0.17712977528572083,0.17426326870918274
24,[32],0.8,0.0005,32,40,18.999406069216125,0.8341291246096696,23.70293822763401,0.6466903878561028,24.897849525746214,0.2137797047818717,5.607276678085327,2.103619073692396,10,0.12428835034370422,0.20089395344257355,0.18572865426540375
24,[64],0.4,0.0005,32,40,14.530008718504726,0.9029888089517083,22.36795291206648,0.6853675129438952,24.422161099490758,0.24353514097011852,4.473394791285197,1.9519577853535575,25,0.07538999617099762,0.16591116786003113,0.1653967797756195
24,[64],0.5,0.0005,32,40,14.603507858908088,0.902004876563992,22.405940237901635,0.6842979295191935,24.489406865499284,0.23936359431692822,4.692732731501262,1.987339693752133,23,0.07703450322151184,0.16663986444473267,0.16595901548862457
24,[64],0.6,0.0005,32,40,15.195738800461674,0.8938955187108224,22.577464107829275,0.6794458493262705,24.48338624351413,0.23973754713379936,5.185842951138814,2.0512388787573563,15,0.08360767364501953,0.16900473833084106,0.16850973665714264
24,[64],0.7,0.0005,32,40,15.313893420205266,0.8922390708660467,22.56314931635413,0.6798522024158282,24.564920923163456,0.2346654569520552,4.516584078470866,1.956026435385277,12,0.0894208624958992,0.17104777693748474,0.16829603910446167
24,[64],0.8,0.0005,32,40,16.71068323410977,0.8716846831905186,22.868865729912965,0.6711178273085245,24.681013293733773,0.2274145115557641,4.650946458180745,1.976790903079854,14,0.09606059640645981,0.1805957555770874,0.17288760840892792
