Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
14,203,14-203,Leaf,,,,,2.95113921,148.0,
14,204,14-204,Leaf,,,,,2.34734964,82.0,
14,205,14-205,Leaf,,,,,1.67800295,3.0,
14,206,14-206,Leaf,,,,,3.87316442,50.0,
14,207,14-207,Leaf,,,,,1.71867681,3.0,
14,208,14-208,Leaf,,,,,4.35015821,29.0,
14,209,14-209,Leaf,,,,,2.93561816,38.0,
14,210,14-210,Leaf,,,,,0.727478027,1.0,
14,211,14-211,Leaf,,,,,1.405954,1.0,
14,212,14-212,Leaf,,,,,4.93516111,44.0,
15,0,15-0,manggarai_air_lag1,640.0,15-1,15-2,15-2,1303733.62,27106.0,
15,1,15-1,manggarai_air_lag1,595.0,15-3,15-4,15-4,179796.312,14787.0,
15,2,15-2,manggarai_air_lag1,690.0,15-5,15-6,15-6,373288.938,12319.0,
15,3,15-3,manggarai_air_lag20,20.0,15-7,15-8,15-8,41111.375,5241.0,
15,4,15-4,manggarai_air_lag1,615.0,15-9,15-10,15-10,46976.9688,9546.0,
15,5,15-5,manggarai_air_lag1,658.0,15-11,15-12,15-12,58900.0938,10220.0,
15,6,15-6,manggarai_air_lag1,740.0,15-13,15-14,15-14,68936.5625,2099.0,
15,7,15-7,Leaf,,,,,-15.4657993,1.0,
15,8,15-8,manggarai_air_lag5,580.0,15-15,15-16,15-16,27492.75,5240.0,
15,9,15-9,depok_air_lag6,145.0,15-17,15-18,15-18,5826.78125,5150.0,
15,10,15-10,manggarai_air_lag3,570.0,15-19,15-20,15-20,13419.5225,4396.0,
15,11,15-11,manggarai_air_lag2,640.0,15-21,15-22,15-22,10093.4766,6614.0,
15,12,15-12,manggarai_air_lag2,660.0,15-23,15-24,15-24,14990.0781,3606.0,
15,13,15-13,depok_air_lag12,120.0,15-25,15-26,15-26,14218.7188,1551.0,
15,14,15-14,manggarai_air_lag1,775.0,15-27,15-28,15-28,13749.4688,548.0,
15,15,15-15,manggarai_air_lag3,592.5,15-29,15-30,15-30,16654.9062,1849.0,
15,16,15-16,manggarai_air_lag2,630.0,15-31,15-32,15-32,8720.21875,3391.0,
15,17,15-17,manggarai_air_lag1,605.0,15-33,15-34,15-34,2509.79688,5108.0,
15,18,15-18,time_index,24567.0,15-35,15-36,15-36,2437.91064,42.0,
15,19,15-19,manggarai_air_lag9,575.0,15-37,15-38,15-38,51763.8281,8.0,
15,20,15-20,manggarai_air_lag2,602.5,15-39,15-40,15-40,8411.10742,4388.0,
15,21,15-21,depok_air_lag3,195.0,15-41,15-42,15-42,2879.33789,236.0,
15,22,15-22,depok_air_lag8,170.0,15-43,15-44,15-44,8207.50391,6378.0,
15,23,15-23,depok_cuaca_lag6_hujan,1.0,15-45,15-46,15-46,4815.76562,320.0,
15,24,15-24,manggarai_air_lag1,670.0,15-47,15-48,15-48,8270.89062,3286.0,
15,25,15-25,manggarai_air_lag2,680.0,15-49,15-50,15-50,5039.28125,610.0,
15,26,15-26,manggarai_air_lag1,710.0,15-51,15-52,15-52,9579.39062,941.0,
