Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
3,[256],0.4,0.002,32,25,130.84004354,16.43146485,4.52777358,0.01753557,0.8712841,15.0532417,4.48901716,0.01008866,0.27179336
3,[256],0.4,0.004,32,22,104.54531455,16.265905,4.51789011,0.0173587,0.87386486,15.03249683,4.44242542,0.01001616,0.27379906
3,[256],0.2,0.002,32,16,75.94470334,16.54588826,4.60482535,0.01769092,0.86948519,15.12872298,4.5550203,0.01019124,0.26447218
3,[256],0.2,0.004,32,21,101.08385444,16.15756584,4.54642044,0.01732961,0.87553951,15.09996694,4.58043982,0.0102268,0.26726564
3,[128],0.4,0.002,32,16,77.41215611,16.54499318,4.50532079,0.01752616,0.86949931,15.09747988,4.519887,0.01014233,0.26750699
3,[128],0.4,0.004,32,12,58.6420331,16.58003753,4.48793556,0.01749356,0.86894589,15.04174532,4.2264472,0.00968944,0.27290522
3,[128],0.2,0.002,32,18,86.20350242,16.49056099,4.47210904,0.0174714,0.87035658,14.92311566,3.82743918,0.00908586,0.28432875
3,[128],0.2,0.004,32,21,99.39889026,16.4221056,4.32010316,0.01721598,0.87143069,15.06165045,4.46601426,0.01005826,0.27097958
