Unit,W_min,W_max,W_mean,W_std,W_first5,bias
d_1,-0.42706,0.300356,-0.001216,0.154801,"[0.0382, -0.1002, -0.1315, 0.1999, -0.0919]",-0.010352
d_16,-0.464279,0.531257,0.007525,0.226273,"[-0.3593, 0.1405, 0.3362, -0.1053, 0.1358]",0.140991
