epoch,train_loss,val_loss,train_mae,val_mae
1,0.1318381428718567,0.10845143347978592,0.142404705286026,0.09005749970674515
2,0.11818602681159973,0.10512622445821762,0.11848850548267365,0.07724015414714813
3,0.11638369411230087,0.1050167977809906,0.11479523032903671,0.07766211032867432
4,0.11458218097686768,0.10486926138401031,0.11173523217439651,0.07624988257884979
5,0.11386328935623169,0.1056579127907753,0.11176493018865585,0.08352348208427429
6,0.11200008541345596,0.10466337203979492,0.10935519635677338,0.0774412676692009
7,0.11138751357793808,0.10527116805315018,0.10935483872890472,0.07640459388494492
8,0.11011456698179245,0.10493599623441696,0.10814408212900162,0.07946255058050156
9,0.10780005156993866,0.10538209974765778,0.10840612649917603,0.07982216775417328
10,0.10131863504648209,0.10355436056852341,0.09771066159009933,0.07935477048158646
11,0.09739682823419571,0.10360481590032578,0.09724680334329605,0.0809304490685463
12,0.09539203345775604,0.10380271077156067,0.09704457968473434,0.07959458976984024
13,0.09216929227113724,0.10449250787496567,0.09633249044418335,0.08082462847232819
14,0.08820223808288574,0.1054234579205513,0.09332556277513504,0.08320972323417664
15,0.0871456190943718,0.10569543391466141,0.09337601810693741,0.08398546278476715
