Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"ARIMA(0, 0, 26)",Ya,0.000453,Tidak,0.001,Tidak,508.02,19.9427,40.9072,6.7543,31.8161,0.02,5.97,0.807,-0.9996
"ARIMA(0, 0, 27)",Ya,0.000138,Tidak,0.001,Tidak,441.49,19.9263,40.8735,6.7418,31.7554,0.02,5.97,0.8073,-0.9963
"ARIMA(0, 0, 28)",Ya,5.6e-05,Tidak,0.001,Tidak,556.97,19.9059,40.8459,6.7244,31.7162,0.02,5.96,0.8077,-0.9936
"ARIMA(0, 0, 29)",Ya,7.6e-05,Tidak,0.001,Tidak,576.83,19.8878,40.831,6.7015,31.7031,0.02,5.96,0.8081,-0.9922
"ARIMA(0, 0, 30)",Ya,0.000381,Tidak,0.001,Tidak,724.94,19.8657,40.823,6.6741,31.6929,0.02,5.96,0.8085,-0.9914
"ARIMA(0, 0, 31)",Ya,0.002497,Tidak,0.001,Tidak,630.94,19.8422,40.82,6.6454,31.7006,0.02,5.96,0.8089,-0.9911
"ARIMA(1, 0, 1)",Ya,0.0,Tidak,0.001,Tidak,10.17,19.7685,40.1661,6.0376,30.9851,0.02,5.85,0.8104,-0.9278
"SARIMA(1, 0, 1)x(1, 0, 0, 24)",Ya,0.0,Tidak,0.001,Tidak,45.81,20.2075,71.8349,5.4358,57.764,0.02,10.0,0.8018,-5.1663
"SARIMA(1, 0, 1)x(0, 0, 1, 24)",Ya,0.0,Tidak,0.001,Tidak,9.18,20.2076,71.8018,5.435,57.7304,0.02,9.99,0.8018,-5.1606
"SARIMA(1, 0, 1)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,88.05,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMA(1, 0, 2)",Ya,0.000000,Tidak,0.001000,Tidak,14.13,19.7436,40.2049,6.0242,31.0302,0.02,5.86,0.8108,-0.9316
"SARIMA(1, 0, 2)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,48.02,20.1974,71.8063,5.4077,59.4369,0.02,10.22,0.8020,-5.1613
"SARIMA(1, 0, 2)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,9.71,20.1975,71.7703,5.4070,59.4023,0.02,10.22,0.8020,-5.1552
"SARIMA(1, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,155.14,20.1531,104.9940,5.8023,99.0249,0.02,16.49,0.8029,-12.1728
"ARIMA(1, 0, 3)",Ya,0.000000,Tidak,0.001000,Tidak,6.98,19.7433,40.2216,6.0300,31.0476,0.02,5.86,0.8108,-0.9332
"SARIMA(1, 0, 3)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,57.52,20.1954,71.8503,5.4156,59.3186,0.02,10.21,0.8021,-5.1689
"SARIMA(1, 0, 3)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,12.82,20.1954,71.8135,5.4149,59.2826,0.02,10.20,0.8021,-5.1626
"SARIMA(1, 0, 3)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,137.9,20.1502,106.6776,5.8177,100.9369,0.02,16.79,0.8030,-12.5987
"ARIMA(1, 0, 4)",Tidak,0.000000,Tidak,0.001000,Tidak,8.27,19.7424,40.2135,6.0269,31.0393,0.02,5.86,0.8109,-0.9324
"SARIMA(1, 0, 4)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,79.94,20.1801,72.7721,5.4536,58.0151,0.02,10.04,0.8024,-5.3282
"SARIMA(1, 0, 4)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,16.65,20.1802,72.7278,5.4528,57.9853,0.02,10.04,0.8024,-5.3205
"SARIMA(1, 0, 4)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,83.34,20.1355,114.7349,5.8325,109.9414,0.02,18.19,0.8032,-14.7304
"ARIMA(1, 0, 5)",Tidak,0.000000,Tidak,0.001000,Tidak,10.54,19.7315,40.1598,6.0144,30.9774,0.02,5.85,0.8111,-0.9272
